,2018-11-14,【中期金视野】10月社零仍运行在稳定区间 
,2018-11-14,【中期金策略】权重拖累沪指，但成交量仍乐观 
,2018-11-14,【中期金策略】锌：午后快速跳水，多单离场观望 
,2018-11-14,【中期金策略】铅：环保检查支撑，铅价小幅收红 
,2018-11-14,【中期金策略】期债单边观望，可关注套利策略 
,2018-11-14,【原油交易策略】原油主力预测今夜继续跌势 
,2018-11-14,【中期热点监控】原油期货上市以来首次跌停 
,2018-11-14,【中期金策略】鸡蛋轻仓日内交易为宜 
,2018-11-14,【中期金策略】玻璃三连跌后 轻仓短线交易为宜 
,2018-11-14,【中期金视野】10月固投继续回升，对稳定经济意义重大 
,2018-11-14,【中期金策略】焦炭：限产临近，谨慎看多 
,2018-11-14,【中期金策略】焦煤：基本面支撑价格，短多为宜 
,2018-11-14,【中期金策略】动力煤：短期消息刺激偏强，观望 
,2018-11-14,【中期加油站】原油市场全息图2018.11.14 
,2018-11-14,【中期金策略】油市内盘以观望为主 
,2018-11-14,【中期金策略】原油外盘继续关注B-W套利机会 
,2018-11-13,【中期金策略】期债磨顶，前期空单继续持有 
,2018-11-13,【中期金策略】郑糖大幅下挫，关注5000一线支撑 
,2018-11-13,【中期热点监控】全球股指重挫，A股逆市大涨为哪般 
,2018-11-13,【中期金策略】创业板创天量，沪指突破2700指日可待 
,2018-11-13,【原油交易策略】原油主力预测今夜下滑趋势持续 
,2018-11-13,【中期金策略】淀粉充分回调，逢低短多 
,2018-11-13,【中期金策略】苹果近远月价差大，提防近月强势整理 
,2018-11-13,【中期金策略】焦炭：短期价格坚挺，轻仓短多为宜 
,2018-11-13,【中期金策略】焦煤：短期看涨，轻仓布局多单 
,2018-11-13,【中期金策略】动力煤：基本面偏弱，逢高短空 
,2018-11-13,【中期金视野】美元强势趋势难改，美股短期恐难翻转 
,2018-11-13,【中期早知道】—2018.11.13 
,2018-11-13,【原油交易策略】原油主力预测今日继续震荡下滑 
,2018-11-13,【中期金策略】铅：区间震荡，波段操作 
,2018-11-13,【中期金策略】继续持有多矿空螺对冲头寸 
,2018-11-13,【中期观点】原油市场全息图20181113 
,2018-11-13,【中期金策略】内盘原油观望为主 
,2018-11-13,【中期金策略】外盘继续关注B-W套利机会 
,2018-11-12,【中期金策略】期债弱势盘整，逢高做空 
,2018-11-12,【中期金策略】创业板放量领涨，短线反弹强劲 
,2018-11-12,【图解行情】中证大涨超2%，商品跌多资金出 
,2018-11-12,【中期金策略】豆类震荡进行时，日内短线交易 
,2018-11-12,【中期金策略】棕榈油勇闯新低，观望等待机会 
,2018-11-12,【原油交易策略】原油主力预测今夜上升趋势持续 
,2018-11-12,【中期金视野】央行报告表明对经济或谨慎乐观 
,2018-11-12,【原油交易策略】原油主力预测今日震荡上升 
,2018-11-12,【中期加油站】原油市场全息图20181112 
,2018-11-12,【中期金策略】内盘关注短多机会 
,2018-11-12,【中期金策略】外盘继续关注B-W套利机会 
,2018-11-09,【中期金策略】期债前高压力来临，逢高试空 
,2018-11-09,【中期金策略】沪指再度展开2600保卫战，多头了结观望 
,2018-11-09,【中期金策略】聚丙烯存在阶段反弹机会 
,2018-11-09,【中期金策略】锌：库存继续下降，锌价反弹 
,2018-11-09,【中期金视野】10月份PPI显示制造业仍承压 
,2018-11-09,【中期金视野】10月份CPI符合预期，年内难达2.6% 
,2018-11-09,【中期金策略】供需边际回暖，铁矿回落试多 
,2018-11-09,【原油交易策略】原油主力预测今日震荡下滑 
,2018-11-09,【中期加油站】原油市场全息图20181109 
,2018-11-09,【中期金策略】内盘关注短空机会 
,2018-11-09,【中期金策略】外盘继续关注B-W套利机会 
,2018-11-08,【原油交易策略】原油主力预测今夜震荡上涨 
,2018-11-08,【中期金视野】贸易顺差收窄或继续甚至加强 
,2018-11-08,【中期金策略】猪价平稳，非洲猪瘟隐忧仍存 
,2018-11-08,【中期金策略】鸡蛋轻仓日内交易为宜 
,2018-11-08,【图解行情】菜粕再创新低，化工暂止跌势 
,2018-11-08,【中期金视野】中期选举赢参输众，特朗普将受制 
,2018-11-08,【中期金策略】消息面利好，铝价企稳 
,2018-11-08,【原油交易策略】原油主力预测今日震荡下跌 
,2018-11-08,【中期加油站】原油市场全息图20181108 
,2018-11-08,【中期金策略】内盘关注短多机会 
,2018-11-08,【中期金策略】外盘继续关注B-W套利机会 
,2018-11-08,【中期金策略】缺乏利好指引，郑糖窄幅振荡 
,2018-11-07,【中期金视野】未来政策可保持稳定性和持续性 
,2018-11-07,【中期金策略】玉米、淀粉，滚动逢低短多 
,2018-11-07,【中期金策略】苹果升势凌厉，短多正当时 
,2018-11-07,【中期金策略】铅：环保回头看陆续入驻，仍有支撑 
,2018-11-07,【原油交易策略】原油主力预测今夜下跌趋势持续 
,2018-11-07,【图解行情】豆类企稳反弹，化工跌跌不休 
,2018-11-07,【中期金视野】前三季经常账户逆差，外贸仍难乐观 
,2018-11-07,【中期加油站】原油市场全息图20181107 
,2018-11-07,【中期金策略】内盘延续逢高做空策略 
,2018-11-06,【中期金策略】外盘继续关注B-W套利机会 
,2018-11-06,【中期金策略】郑糖窄幅波动，延续调整行情 
,2018-11-06,【原油交易策略】原油主力预测今夜震荡上涨 
,2018-11-06,【图解行情】苹果再领风骚，甲醇跌跌不休 
,2018-11-06,【中期加油站】原油市场全息图20181106 
,2018-11-06,【中期金视野】根治民企融资难问题，任重道远 
,2018-11-06,【中期金策略】内盘关注日内短多机会 
,2018-11-05,【中期金策略】外盘继续关注B-W套利机会 
,2018-11-05,【中期金视野】大海才有大风浪，中国经济稳如山 
,2018-11-05,【中期金策略】郑糖震荡整理，关注5000一线支撑 
,2018-11-05,【中期金策略】油脂跌势趋缓，等待支撑探明 
,2018-11-05,【中期金策略】豆粕1905轻仓尝试短多 
,2018-11-05,【图解行情】股指冲高回落，黑色继续领跌商品 
,2018-11-05,【原油交易策略】原油主力预测今夜震荡上升 
,2018-11-05,【中期金策略】铅多单继续持有 
,2018-11-05,【中期金策略】内盘继续关注逢高做空机会 
,2018-11-05,【中期金策略】外盘继续关注B-W套利机会 
,2018-11-02,【中期金策略】郑糖震荡走低，关注5000支撑 
,2018-11-02,【中期金视野】总书记讲话定调，民企或迎发展高峰 
,2018-11-02,【原油交易策略】原油主力预测今日反弹 
,2018-11-02,【中期加油站】原油市场全息图20181102 
,2018-11-02,【中期金策略】内盘继续关注逢高做空机会 
,2018-11-02,【中期金策略】外盘继续关注B-W套利机会 
,2018-11-01,【中期金视野】基建补短板保持力度，或促固投继续回升 
,2018-11-01,【原油交易策略】原油主力预测今夜反弹 
,2018-11-01,【图解行情】股指冲高回落，黑色继续领跌商品 
,2018-11-01,【中期金策略】鸡蛋震荡整理，日内短线交易为宜 
,2018-11-01,【中期金策略】玉米、淀粉高位盘整，低多谨慎持有 
,2018-11-01,【中期加油站】原油市场全息图20181101 
,2018-11-01,【中期金策略】内盘继续关注逢高做空机会 
,2018-11-01,【中期金策略】外盘继续关注B-W套利 
,2018-11-01,【原油交易策略】原油主力预测今日下跌 
,2018-11-01,【中期金策略】郑糖止跌企稳，上行空间有限 
,2018-11-01,【中期金策略】供应进一步缩减，焦煤易涨难跌 
,2018-10-31,【原油交易策略】原油主力预测今夜下跌 
,2018-10-31,【图解行情】股指连红待突破，商品普跌迎回调 
,2018-10-31,【中期金策略】苹果仓单压力小，逢低短多为宜 
,2018-10-31,【中期金策略】豆油若站稳支撑，尝试逢低短多 
,2018-10-31,【中期金视野】美再发关税威胁，我方已风轻云淡 
,2018-10-31,【中期金视野】10月PMI表明经济回暖节奏未改 
,2018-10-31,【中期金策略】锌：宏观悲观，暂时观望 
,2018-10-31,【原油交易策略】原油主力预测今日反弹 
,2018-10-31,【中期加油站】原油市场全息图20181031 
,2018-10-31,【中期金策略】内盘继续关注日内短空机会 
,2018-10-30,【中期金策略】外盘继续关注B-W套利机会 
,2018-10-30,【中期金视野】解决民营、小微融资难问题已上正道 
,2018-10-30,【中期金策略】豆粕1901险守3300，提防超跌反弹 
,2018-10-30,【原油交易策略】原油主力预测今夜震荡上涨 
,2018-10-30,【中期金视野】人民币对美元中间价年内几无“破7”可能 
,2018-10-30,【图解行情】股指收红似趋稳，豆粕承压继续跌 
,2018-10-30,【原油交易策略】原油主力预测今日震荡上涨 
,2018-10-30,【中期加油站】原油市场全息图20181030 
,2018-10-30,【中期金策略】内盘关注日内短空机会 
,2018-10-29,【中期金策略】外盘油价关注B-W套利机会 
,2018-10-29,【中期金视野】中日本币互换或影响深远 
,2018-10-29,【原油交易策略】原油主力预测今夜持续震荡下滑 
,2018-10-29,【图解行情】黑色领跌，PTA反弹，跌多涨少需谨慎 
,2018-10-29,【原油交易策略】原油主力预测今日震荡下滑 
,2018-10-29,【中期加油站】原油市场全息图20181029 
,2018-10-29,【中期金策略】内盘关注日内短多机会 
,2018-10-29,【中期金策略】外盘继续关注B-W套利机会 
,2018-10-29,【中期金视野】央行助力，可关注民营企业债券 
,2018-10-26,【图解行情】苹果鸡蛋收大阳，股指震荡待突破 
,2018-10-26,【中期金视野】中日关系改善，投资机会涌现 
,2018-10-26,【中期金策略】环保干扰持续，铅价偏强运行 
,2018-10-26,【原油交易策略】原油主力预测今日下跌 
,2018-10-26,【中期金策略】外盘油价继续关注B-W套利 
,2018-10-26,【中期金策略】内盘油价关注日内短多机会 
,2018-10-25,【中期金策略】沪铜震荡走低，调整行情延续 
,2018-10-25,【中期金策略】期债高位回落，上涨空间有限 
,2018-10-25,【中期金策略】玉米淀粉喜提新高，滚动多头操作 
,2018-10-25,【图解行情】黑色强势不停歇，股指收复今缺口 
,2018-10-25,【中期金视野】美股接连暴跌或意味美经济基本面变化 
,2018-10-25,【中期加油站】原油市场全息图20181025 
,2018-10-25,【中期金策略】内盘继续关注逢高做空机会 
,2018-10-25,【中期金策略】外盘油价关注B-W套利机会 
,2018-10-25,【中期金策略】锌：宏观情绪影响，建议多单逢高止盈 
,2018-10-25,【原油交易策略】原油主力预测今日恢复下跌趋势 
,2018-10-24,【中期金策略】苹果考验重要支撑，轻仓短线交易 
,2018-10-24,【中期金视野】短期内制造业承压恐难扭转 
,2018-10-24,【中期金策略】股指：缺口有支撑，量能仍在线 
,2018-10-24,【原油交易策略】原油主力预测今夜技术性反弹 
,2018-10-24,【图解行情】黑色强势再上攻，原油弱弱收长阴 
,2018-10-24,【中期金策略】郑糖弱势下行，关注5050一线支撑 
,2018-10-24,【中期金策略】铝：短期利多，止跌企稳 
,2018-10-24,【原油交易策略】原油主力预测今日弱势震荡 
,2018-10-24,【中期加油站】原油市场全息图20181024 
,2018-10-24,【中期金策略】内盘油价关注逢高做空机会 
,2018-10-24,【中期金策略】外盘油价跌势延续 
,2018-10-23,【中期金视野】意大利预算问题或将激化，需谨防风险 
,2018-10-23,【中期金策略】印度菜粕进口禁令取消，豆粕回调 
,2018-10-23,【原油交易策略】原油主力预测今夜跌势持续 
,2018-10-23,【图解行情】汇率拖累股指跌，黑色整体趋偏强 
,2018-10-23,【中期金视野】国务院支持民企融资之措效果待观察 
,2018-10-23,【中期金策略】供需边际回暖，铁矿震荡上行 
,2018-10-23,【中期金策略】内盘油价关注逢低做多机会 
,2018-10-23,【中期金策略】外盘油价盘中上演V型反转 
,2018-10-22,【中期金策略】豆粕低迷，多头宜规避 
,2018-10-22,【中期金视野】专项扣除改善预期，年内或促进消费 
,2018-10-22,【原油交易策略】原油主力预测今夜下跌 
,2018-10-22,【图解行情】股指连喜收大阳，粕类跌跌欲筑顶 
,2018-10-22,【中期金视野】金融委会议或示政策将更放宽 
,2018-10-22,【原油交易策略】原油主力预测今日震荡下滑 
,2018-10-22,【中期观点】原油市场全息图20181022 
,2018-10-22,【中期金策略】外盘油价可日内短多 
,2018-10-22,【中期金策略】内盘油价或将止跌 
,2018-10-19,【中期金视野】三季度宏观符合预判，四季度回暖可期 
,2018-10-19,【原油交易策略】原油主力预测今日下滑持续 
,2018-10-19,【中期金策略】内盘油价关注逢高做空机会 
,2018-10-19,【中期金策略】外盘油价易跌难涨 
,2018-10-18,【图解行情】股指低开再新低，黑色跌冠今商品 
,2018-10-18,【原油交易策略】原油主力预测今夜恢复下滑趋势 
,2018-10-18,【中期加油站】原油市场全息图20181018 
,2018-10-18,【中期金策略】内盘关注逢高做空机会 
,2018-10-18,【中期金策略】外盘油价延续下行趋势 
,2018-10-18,【中期金视野】9月M2增速显经济承压有所缓解 
,2018-10-18,【中期金视野】认为9月社融略有回暖较合理 
,2018-10-18,【原油交易策略】原油主力预测今日反弹 
,2018-10-17,【图解行情】股指高开尾盘红，黑色大涨抢C位 
,2018-10-17,【原油交易策略】原油主力预测今夜震荡下滑 
,2018-10-17,【中期金视野】总体方案出台，海南将成风向标 
,2018-10-17,【中期加油站】原油市场全息图20181017 
,2018-10-17,【中期金策略】内盘油价日内可逢低短多 
,2018-10-17,【中期金策略】外盘油价日内震荡偏强 
,2018-10-17,【原油交易策略】原油主力预测今日弱势震荡 
,2018-10-16,【中期金视野】9月份PPI显示经济或将回暖 
,2018-10-16,【图解行情】期货涨少跌多，能化领跌工业品 
,2018-10-16,【中期金视野】9月份CPI显示年内难突破2.5-2.6% 
,2018-10-16,【中期金策略】内盘油价延续逢高做空策略 
,2018-10-16,【中期金策略】沙美关系紧张，油价小幅收涨 
,2018-10-15,【原油交易策略】原油主力预测今日弱势震荡 
,2018-10-15,【图解行情】股指羸弱再下跌，黄金避险连五阳 
,2018-10-15,【中期金视野】年内降准可能性提升 
,2018-10-15,【原油交易策略】原油主力预测今日反弹 
,2018-10-15,【中期加油站】原油市场全息图20181015 
,2018-10-15,【中期金策略】内盘油价关注逢高做空机会 
,2018-10-15,【中期金策略】外盘油价延续逢高做空策略 
,2018-10-15,【中期金视野】养老金缺口巨大，养老领域机会值得关注 
,2018-10-15,【原油交易策略】原油主力预测今日反弹 
,2018-10-12,【中期观点】原油市场全息图20181012 
,2018-10-12,【中期金视野】住房租赁应是促消费重中之重 
,2018-10-12,【中期金视野】人民币贬值已接近预测，建议空头出场 
,2018-10-12,【中期晨会】股指：抹不去的阴云，请耐心等待 
,2018-10-12,【中期金策略】关注外盘油价逢高做空 
,2018-10-12,【中期金策略】关注内盘油价逢高做空 
,2018-10-12,【原油交易策略】原油主力预测今日下滑趋势持续 
,2018-10-11,【图解行情】股指下跌超预期，商品弱势迎回调 
,2018-10-11,【中期金视野】美股暴跌或因加息，美政策可能调整 
,2018-10-11,【中期金视野】提高自然灾害防治能力有助于经济稳定 
,2018-10-11,【中期观点】原油市场全息图20181011 
,2018-10-11,【中期金策略】内盘原油跟随外盘走弱 
,2018-10-11,【原油交易策略】原油主力预测今日下滑趋势持续 
,2018-10-11,【原油交易策略】原油主力预测今日下滑趋势持续 
,2018-10-10,【原油交易策略】原油主力预测今夜震荡下滑 
,2018-10-10,【图解行情】油脂低吸有机会，黑色追涨存风险 
,2018-10-10,【中期金视野】国企改革或量减域缩、集中优化 
,2018-10-10,【中期加油站】原油市场全息图20181010 
,2018-10-10,【中期金策略】内盘原油可日内逢高短空 
,2018-10-10,【中期金策略】基本面偏强，外盘原油逢低做多 
,2018-10-10,【中期金视野】棚改货币化安置或退出，房价拐点愈近 
,2018-10-09,【图解行情】能化大涨增人气，有色低吸可潜伏 
,2018-10-09,【中期金视野】提高出口退税，效果或于12月显现 
,2018-10-09,【中期“加油站”】：原油市场全息图20181009 
,2018-10-09,【中期金策略】内盘原油高位震荡，观望为主 
,2018-10-08,【中期金策略】多空交织，外盘原油逢高做空 
,2018-10-08,【原油交易策略】原油主力今夜震荡下滑 
,2018-10-08,【图解行情】黑色大涨出机会，有色震荡可潜伏 
,2018-10-08,【原油交易策略】原油主力今日震荡下滑 
,2018-10-08,【中期“加油站”】：原油市场全息图20181008 
,2018-10-08,【中期金视野】央行降准非超预期，利好不宜过高估计 
,2018-10-08,【中期金策略】内盘油价节后首日高位震荡 
,2018-10-08,【中期金策略】警惕油价回落，关注B-W套利 
,2018-09-29,【中期金视野】9月PMI表明经济回暖正逐步实现 
,2018-09-29,【中期量化】国庆假期内外盘行情统计 
,2018-09-29,【中期金视野】9月份投资回暖或难达预期 
,2018-09-29,【中期量化】有色翻红，粕类坚挺，股指收阳 
,2018-09-28,【中期金策略】内盘预计今日震荡下跌 
,2018-09-28,【中期金策略】外盘周四上涨，预计今日震荡下滑 
,2018-09-28,【中期“加油站”|原油专题】：国际原油港口 —民都鲁港 
,2018-09-28,【原油交易策略】原油主力今日震荡下滑 
,2018-09-28,【中期金视野】党中央坚强领导，国企将继续大放异彩 
,2018-09-28,【中期金视野】中央支持民营经济，必再创辉煌 
,2018-09-27,【原油交易策略】原油主力今夜震荡下滑 
,2018-09-27,【中期金视野】美联储加息，原油、黄金承压 
,2018-09-27,【中期量化】能源走强，粕类坚挺，有色分化 
,2018-09-27,【中期金策略】内盘预计今日高位震荡 
,2018-09-27,【中期金策略】外盘周三回调，预计今日弱势震荡 
,2018-09-27,【中期“加油站”|原油专题】：国际原油港口 —杜迈港 
,2018-09-27,【原油交易策略】原油主力今日高位震荡 
,2018-09-26,【中期金策略】铁矿回落短多 
,2018-09-26,【原油交易策略】原油主力今夜预计回调 
,2018-09-26,【中期量化】股指冲高回落，油脂整体走强 
,2018-09-26,【中期金视野】“三全”绩效管理意味强刺激不会回归 
,2018-09-26,【中期金策略】内盘预计今日震荡回调 
,2018-09-26,【中期金策略】外盘周二上涨，预计今日高位回调 
,2018-09-26,【中期“加油站”|原油专题】：国际原油港口 —辛塔港 
,2018-09-25,【原油交易策略】原油主力今日预计回调 
,2018-09-25,【原油交易策略】原油主力今夜预计涨势持续 
,2018-09-25,【中期量化】沪铜再大涨，妖苹果人气不再 
,2018-09-25,【中期金视野】白皮书或促贸易战进入新阶段 
,2018-09-25,【中期金策略】内盘预计今日上升 
,2018-09-25,【中期金策略】外盘周一上涨，预计今日升势持续 
,2018-09-25,【中期“加油站”|原油专题】：国际原油港口 —阿尔泽港 
,2018-09-25,【原油交易策略】原油主力今日预计震荡上涨 
,2018-09-21,【中期金策略】沪铅短期震荡为主 
,2018-09-21,【复盘点睛】期指：国家队出手，反弹趋势初现 
,2018-09-21,【中期量化】50喜提节日红，有色大涨人气旺 
,2018-09-21,【中期金视野】四季度政策效果将明显释放 
,2018-09-21,【中期金视野】中央促消费或引多板块投资机会 
,2018-09-21,【中期金策略】内盘周四夜盘下跌，预计今日上升 
,2018-09-21,【中期金策略】外盘周四下跌，预计今日上升 
,2018-09-21,【中期“加油站”|原油专题】：国际原油港口 —锡德尔港 
,2018-09-21,【原油交易策略】原油主力今日预计震荡上涨 
,2018-09-21,【中期金策略】铜期权首日：抢占时间价值 
,2018-09-20,【原油交易策略】原油主力今夜预计震荡上涨 
,2018-09-20,【中期金策略】沥青多单耐心持有 
,2018-09-20,【中期金视野】交通基建或加大发力，注意投资机会 
,2018-09-20,【中期金视野】再减税可能性较大，降费更重要 
,2018-09-20,【中期金策略】内盘周三夜盘上涨，预计今日上升 
,2018-09-20,【中期金策略】外盘周三上涨，预计今日涨势继续 
,2018-09-20,【中期“加油站”|原油专题】：国际原油港口 —福卡多斯港 
,2018-09-20,【原油交易策略】原油主力今日预计震荡上涨 
,2018-09-19,【股指期货】量能不足，两日游行情或结束 
,2018-09-19,【中期金策略】沪锌延续涨势 
,2018-09-19,【中期量化】股指再收红，有色涨不停 
,2018-09-19,【中期金策略】螺纹维持震荡思路 
,2018-09-19,【中期金视野】国常会进一步稳定社保费相关预期 
,2018-09-19,【中期金视野】国常会施压，减费降税将加快落实 
,2018-09-19,【中期金视野】关税冲击不明显，更多反制或将至 
,2018-09-19,【中期金策略】内盘周二夜盘上涨，预计今日上升 
,2018-09-19,【中期金策略】外盘周二上涨，预计今日涨势继续 
,2018-09-19,【中期“加油站”|原油专题】：国际原油港口 —阿比让港 
,2018-09-19,【原油交易策略】原油主力今日预计震荡上涨 
,2018-09-19,【中期金策略】继续持有买焦炭空铁矿策略 
,2018-09-18,【中期金策略】多头资金涌入，沪锌大幅反弹 
,2018-09-18,【中期金策略】深成指破8000，市场延续跌势 
,2018-09-18,【中期金策略】台风影响弱于预期 郑糖小幅走低 
,2018-09-18,【中期金视野】美对华新征关税影响主要在长期 
,2018-09-18,【中期量化】勿忘国耻，股指大涨，有色弹弹 
,2018-09-18,【原油交易策略】原油主力今夜预计震荡上涨 
,2018-09-18,【中期金策略】关注沥青回调做多机会 
,2018-09-18,【中期金策略】外部风险有待释放，螺纹维持震荡 
,2018-09-18,【中期金策略】内盘周一夜盘下滑，预计今日反弹 
,2018-09-18,【中期金策略】外盘周一下跌，预计今日继续下跌 
,2018-09-18,【中期“加油站”|原油专题】：国际原油港口 —博尼港 
,2018-09-18,【原油交易策略】原油主力今日预计震荡上涨 
,2018-09-17,【中期金策略】继续持有买焦炭空铁矿策略 
,2018-09-17,【中期金策略】铝：贸易战拖累表现偏弱 
,2018-09-17,【原油交易策略】原油主力今夜预计震荡上涨 
,2018-09-17,【中期金策略】中国消减进口，CBOT大豆下跌 
,2018-09-17,【中期量化】股指再下，债券走强，商品分化 
,2018-09-17,【热点追踪】超强台风来袭，期货市场风平浪静？ 
,2018-09-17,【复盘点睛】深成指破8000，市场延续跌势 
,2018-09-17,【中期金策略】需求韧性犹在，螺纹震荡思路对待 
,2018-09-17,【中期金视野】50人论坛或为相关政策吹风预热 
,2018-09-17,【中期金策略】继续持有买焦炭卖铁矿策略 
,2018-09-17,【中期金策略】内盘周五夜盘下滑，预计今日上升 
,2018-09-17,【中期金策略】外盘周五震荡，预计今日上涨 
,2018-09-17,【中期“加油站”|原油专题】：国际原油港口 —埃拉特港 
,2018-09-17,【原油交易策略】原油主力今日预计震荡上涨 
,2018-09-17,【中期金策略】天气炒作升温，郑糖将延续反弹 
,2018-09-14,【中期金视野】三季度经济增速或在6.5%左右 
,2018-09-14,【中期金视野】8月固投增速降幅收窄，或将回暖 
,2018-09-14,【中期金视野】8月份社融显经济韧性加强 
,2018-09-13,【策略推荐】黑色投资策略20180914 
,2018-09-13,【中期金视野】美再邀华谈判难有突破 
,2018-09-13,【原油交易策略】原油主力今夜预计震荡上涨 
,2018-09-13,【中期金视野】8月M2增速再降，流动性还需改善 
,2018-09-13,【中期量化】谈判重启，股指弹弹，豆粕歇菜 
,2018-09-13,【中期金视野】8月社融显示经济现回暖迹象 
,2018-09-13,【中期金策略】外盘周三上涨，预计今日回调 
,2018-09-13,【中期金策略】内盘周三夜盘上涨，预计今日回调 
,2018-09-13,【中期“加油站”|原油专题】：国际原油港口 —阿利亚加港 
,2018-09-13,【原油交易策略】原油主力今日预计震荡下跌 
,2018-09-12,【策略推荐】国际期货黑色投资策略 
,2018-09-12,【原油交易策略】原油主力今夜预计弱势震荡 
,2018-09-12,【中期量化】国债触底反弹，原油独领风骚 
,2018-09-12,【中期金视野】个税减税效果或更多明年体现 
